,ID,Members,cables,frequency,from,name,operator,operator:wikidata,operator:wikipedia,ref,route,to,type,voltage,wires,via,note,was:to,via:2,gez,not:operator:wikidata,planned,disused,description,circuits,fixme,location
0,67178,"['26380971', '119445842', '27149340', '27156335', '998096455', '51370891', '51370888', '51370894', '28278297']",2,16.7,Unterwerk Priort,Bahnstromleitung Priort - Karow 1,DB Energie GmbH,Q1152043,de:DB Energie,1,power,Unterwerk Karow,route,110000,single, , , , , , , , , , , , 
1,67179,"['27645830', '119017808', '27916070', '27149340', '119445845', '26380971']",2,16.7,Nitzahn,Nitzahn - Priort 2,DB Energie GmbH, , ,2,power,Priort,route,110000,double, , , , , , , , , , , , 
2,67180,"['28775976', '28775982', '26380971', '119443394', '23597731', '8031374', '119443385', '34848214', '34848231', '26332254', '52082739', '27692916']",2,16.7,Priort,Priort - Genshagener Heide 1,DB Energie GmbH,Q1152043,de:DB Energie,1,power,Genshagener Heide,route,110000,single,Golm, , , , , , , , , , , 
3,67186,"['29331392', '119377193', '27692895', '52082737', '27692916']",2,16.7,Thyrow,Thyrow - Genshagener Heide 1,DB Energie GmbH, , , ,power,Genshagener Heide,route,110000,single, , , , , , , , , , , , 
4,69042,"['940635545', '30309989', '52831338', '437580960', '8017477', '27163333', '238840417', '765260457', '765260456', '765260455', '765260452', '765260451', '765260453', '765260454', '765260449', '765260450', '765260448', '238840418', '233486326']",3,50,Henningsdorf,295,50Hertz Transmission,Q241331,de:50Hertz Transmission,295,power,Wustermark,route,220000,double, , , , , , , , , , , , 
5,69043,"['942448206', '998005839', '34942575', '944513499', '164012417', '32950166', '1019450642', '51370887', '51370891', '998096456', '27163218', '8017483', '8017477', '52831337', '437580959', '30309989']",3,50,Umspannerk Neuenhagen,Hochspannungsleitung 293 Neuenhagen - Hennigsdorf,50Hertz Transmission,Q241331,de:50Hertz Transmission,293,power,Umspannwerk Hennigsdorf,route,220000,double, , , , , , , , , , , , 
6,69045,"['940635545', '942448206', '944513500', '164012430', '998005839', '34942575', '32950166', '1019450642', '51370887', '51370891', '998096456', '27163218', '27163257', '238840417', '765260457', '765260456', '765260455', '765260452', '765260451', '765260453', '765260454', '765260449', '765260450', '765260448', '233520703', '233486326']",3,50,Umspannwerk Neuenhagen,Hochspannungsleitung 294 Neuenhagen - Wustermark,50Hertz Transmission,Q241331,de:50Hertz Transmission,294,power,Umspannwerk Wustermark,route,220000,double, , , , , , , , , , , , 
7,109961,"['518455587', '825163736', '617568394', '32950166', '34942574', '24213861', '40895968', '40895974', '816850200', '729102366', '729102365', '137197826', '518455594']",3,50,Umspannwerk Gransee,Hochspannungsleitung 517 Gransee - Neuenhagen,50Hertz Transmission,Q241331,de:50Hertz Transmission,517,power,Umspannwerk Neuenhagen,route,380000,triple, , , , , , , , , , , , 
8,109962,"['617568396', '617568394', '32950166', '34942574', '7981921', '30151837', '945955006', '7979017', '940636813', '518455591', '617568397', '786985537', '786985538', '824019356', '947118608']",3,50,Umspannwerk Altentreptow Süd,Hochspannungsleitung 518 Altentreptow Süd - Malchow,50Hertz Transmission,Q241331, ,518,power,Umspannwerk Malchow,route,380000,triple, , , , , , , , , , , , 
9,109969,"['940636813', '37202069', '945955005', '30151837', '22980164', '729102365', '729102366', '40895968', '816850199', '8017790', '137197826']",3,50,Umspannwerk Malchow,Hochspannungsleitung 520 Malchow - Neuenhagen,50Hertz Transmission,Q241331,de:50Hertz Transmission,520,power,Umspannwerk Neuenhagen,route,380000,triple, , , , , , , , , , , , 
10,110556,"['23499551', '23499599', '32996591', '786978747', '32996487', '234453387', '793978408', '25835623', '164950715', '29286033', '369719846', '955985986', '135204761', '55251124', '786978738', '786978737', '29286029']",3, , ,Bau-Nho 2,EON_edis, , , ,power, ,route,110000,single, , , , , , , , , , , , 
11,110604,"['24809689', '460292815', '206663800', '33000377', '26750976', '194820159']",3,50,Großbeeren,Grb-Tel 1,E.DIS Netz GmbH, , , ,power,Teltow,route,110000, , , , , , , , , , , , , 
12,110605,"['24809702', '460292811', '32999474', '27704195', '40806065', '188944897', '27704199', '26750976']",3,50,Großbeeren,Grb-Pos 2,E.DIS Netz GmbH, , , ,power,Potsdam,route,110000, , , , , , , , , , , , , 
13,110606,"['24809689', '32999474', '33000377', '40806028', '48759346', '257783129', '257783128', '26507031', '233665635', '199806873', '194820159']",3,50,Teltow,Tel-Sed 3,E.DIS Netz GmbH, , , ,power, ,route,110000,single, , , , , , , , , , , , 
14,145483,"['27149550', '30132577', '971780150', '30132574', '233500126', '27157670', '26472665', '1071440247']",3,50,Umspannwerk Wolmirstedt,Hochspannungsleitung 494 Wolmirstedt - Wustermark,50Hertz Transmission,Q241331,de:50Hertz Transmission,494,power,Umspannwerk Wustermark,route,220000,quad;triple, ,"für 380000 Volt errichtet, z.Z. mit 220000 Volt betrieben", , , , , , , , , , 
15,145484,"['233500126', '30132575', '22981047', '381739502', '30132758', '944516899', '233482122', '27149550']",3,50,Wustermark,498,50Hertz Transmission,Q241331,de:50Hertz Transmission,498,power,Teufelsbruch,route,380000,quad;triple, , , , , , , , , , , , 
16,145485,"['26472663', '381739508', '381739502', '30132758', '239579600', '971780151', '30132577', '26472665']",3,50,Umspannwerk Wolmirstedt,Hochspannungsleitung 493 Wolmirstedt - Teufelsbruch,50Hertz Transmission,Q241331,de:50Hertz Transmission,493,power,Umspannwerk Teufelsbruch,route,380000,triple, , , , , , , , , , , , 
17,145508,"['941453716', '39579910', '945953278', '59032803', '30416989', '30416990', '470634230', '907494426', '851945933', '851299584']",3,50,Umspannwerk Siedenbrünzow,Hochspannungsleitung 513 Siedenbrünzow - Putlitz Süd,50Hertz Transmission,Q241331,de:50Hertz Transmission,513,power,Umspannwerk Putlitz Süd,route,380000,triple, , ,Umspannwerk Stednal West, , , , , , , , , 
18,145509,"['30419117', '30419417', '259468200', '259468201', '41036073', '953458921', '164015321', '59707534', '953460012', '59707532', '33169401']",3,50,Umspannwerk Perleberg,Hochspannungsleitung 516 Perleberg - Stendal West,50Hertz Transmission,Q241331,de:50Hertz Transmission,516,power,Umspannwerk Stendal West,route,380000,triple, , , , , , , , , , , , 
19,145510,"['32062544', '30416985', '470634230', '907494427', '851945932', '851299584', '435456623', '59049184', '30416986']",3,50,Umspannwerk Güstrow,Hochspannungsleitung 514 Güstrow - Putlitz Süd,50Hertz Transmission,Q241331,de:50Hertz Transmission,514,power,Umspannwerk Putlitz Süd,route,380000,triple, , , , , , , , , , , , 
20,151331,"['32977008', '214544153', '32971602', '23598308', '156354807', '156354805', '156354806', '214544144', '156354804', '214544145', '214544103']",6,16.7,Neuhof,15-kV-Bahnstromleitung Neuhof - Halbe,DB Energie GmbH, , , ,power,Halbe,route,15000,single, , , , , , , , , , , , 
21,222222,"['8656259', '289283871', '39643974', '289334548', '289333527', '289283875', '234161540', '1090874996', '942448205', '23499851', '258195710', '258195709']",3,50,Umspannwerk Neuenhagen,Hochspannungsleitung Nhg - Tf 2,E.DIS Netz GmbH,Q1273411, ,2,power,Umspannwerk Tempelfelde,route,110000,single,Seefeld, , , , , , , , , , , 
22,222223,"['39643974', '289334548', '289333527', '289283875', '234161545', '1090874995', '289283874', '289334545', '289334543', '289283878', '289283870', '289335809', '942448205', '32522927', '289333526', '258272921', '258272920', '210743915', '210743916', '202267732', '202267731', '88276389', '246515828', '246515830']",3,50,Umspannwerk Neuenhagen,Hochspannungsleitung Nhg - - Fin 1,E.DIS Netz GmbH,Q1273411, ,1,power,Umspannwerk Finow,route,110000,single,Windpark Willmersdorf, , , , , , , , , , , 
23,227616,"['499503583', '44052581', '149635967', '61575984', '369542764', '157520746', '49967909', '49978584', '827848145', '40152416', '44052622', '996358508', '499503585', '369542763', '40550867', '43915541', '55697039', '28776902']",2,16.7,Muldenstein,Bahnstromleitung Muldenstein - Kirchmöser 2,DB Energie GmbH,Q1152043,de:DB Energie,2,power,Kirchmöser,route,110000,single,Klebitz, , ,Borne, , , , , , , , 
24,240489,"['944516922', '27157904', '27149776', '234816052', '40621568', '940635545']",3,50,Wustermark,319,50Hertz Transmission,Q241331,de:50Hertz Transmission,319,power,Brandenburg/West,route,220000,double, , , , , , , , , , , , 
25,240490,"['233482114', '944516924', '27149776', '234816051', '40621568', '940635545']",3,50,Wustermark,324,50Hertz Transmission,Q241331,de:50Hertz Transmission,324,power,Brandenburg/West,route,220000,double, , , , , , , , , , , , 
26,241440,"['29331499', '22973052', '817444365', '40801073', '58604695', '58604693', '459526623', '233516455', '23598077', '331657570']",3,50,Wuhlheide,Hochspannungsleitung 291 Wuhlheide - Thyrow,50Hertz Transmission,Q241331,de:50Hertz Transmission,291,power,Thyrow,route,220000,double, , , , , , , , , , , , 
27,241441,"['29331499', '940921737', '71335644', '758948406', '40801071', '821965933', '40801070', '58604695', '22973052', '58604693', '459526624', '233516451', '23598077', '331657570', '817444367', '8014814']",3,50,Marzahn,Hochspannungsleitung 302 Marzahn - Wuhlheide - Thyrow,50Hertz Transmission,Q241331,de:50Hertz Transmission,302,power,Thyrow,route,220000,triple;double,Wuhlheide,Abzweig Wuhlheide, , , , , , , , , , 
28,241442,"['22973052', '40801071', '821965933', '40801072', '817444363', '758948405', '71335643', '940921737']",3, ,Marzahn,Hochspannungsleitung 301 Marzahn - Wuhlheide,50Hertz Transmission,Q241331,de:50Hertz Transmission,301,power,Wuhlheide,route,220000,triple;double, , , , , , , , , , , , 
29,241513,"['8014833', '40807399', '112789705', '22973052', '30954714', '215257946', '24779247', '46508946', '354586865']",3,50,Friedrichshain,706,Stromnetz Berlin,Q110255475, , ,power,Wuhletal,route,110000,double, , , , , , , , , , , , 
30,252581,"['166912772', '7962792', '263419605', '166912779', '166885627', '20562114', '940636813', '166885622', '945955004', '40895836', '354559582', '24477877', '816337410', '347993166', '347993141', '39243044']",3, ,Malchow,Hochspannungsleitung 808 MOW - BIN,Stromnetz Berlin,Q110255475, ,808,power,Biesdorf-Nord,route,110000,single, , , , ,755, , , , , , , 
31,252583,"['137197826', '40895990', '816760744', '758952097', '758952096', '22973070', '816760745']",3, ,Umspannwerk Neuenhagen,Hochspannungsleitung 495 Neuenhagen - Marzahn,50Hertz Transmission,Q241331,de:50Hertz Transmission,495,power,Umspannwerk Marzahn,route,380000,triple, , , , , , , , , , , , 
32,252584,"['137197826', '40895990', '816760747', '816760746', '758952098', '758952095', '22973070']",3, ,Neuenhagen,Hochspannungsleitung 496 Neuenhagen - Marzahn,50Hertz Transmission,Q241331,de:50Hertz Transmission, ,power,Marzahn,route,380000,quad, , , , , , , , , , , , 
